Вид задължение;Погасена сума;Вид задължение;Вид документ;"Документ №""";Дата;Период (от - до);Срок за плащане
данък върху добавената стойност при сделки в страната - начисляване на лихва за просрочие;7422.59;Данък върху доходите от трудови и прир. на тях правоотношения - вземане по декларация чл.49, ал.5 от ЗДДФЛ;Декларация - образец 6;2.90E+14;20.12.2017;01.11.2017 - 30.11.2017;28.12.2017
данък върху добавената стойност при сделки в страната - начисляване на лихва за просрочие;10000;данък върху добавената стойност при сделки в страната - вземане по справка декларация   ;Mесечна справка-декларация по ЗДДС;22251167004;15.1.2018;01.12.2017 - 31.12.2017;15.1.2018
корпоративен данък от нефинансови предприятия - начисляване на лихва за просрочие;10000;данък върху добавената стойност при сделки в страната - вземане по справка декларация   ;Mесечна справка-декларация по ЗДДС;22251167004;15.1.2018;01.12.2017 - 31.12.2017;15.1.2018
Данък върху доходите от трудови и прир. на тях правоотношения - начисляване на лихви за просрочие;10000;данък върху добавената стойност при сделки в страната - вземане по справка декларация   ;Mесечна справка-декларация по ЗДДС;22251167004;15.1.2018;01.12.2017 - 31.12.2017;15.1.2018
Данък върху доходите от трудови и прир. на тях правоотношения - начисляване на лихви за просрочие;10000;данък върху добавената стойност при сделки в страната - вземане по справка декларация   ;Mесечна справка-декларация по ЗДДС;22251167004;15.1.2018;01.12.2017 - 31.12.2017;15.1.2018
данък върху добавената стойност при сделки в страната - начисляване на лихва за просрочие;10000;данък върху добавената стойност при сделки в страната - вземане по справка декларация   ;Mесечна справка-декларация по ЗДДС;22251167004;15.1.2018;01.12.2017 - 31.12.2017;15.1.2018
Данък върху доходите от трудови и прир. на тях правоотношения - начисляване на лихви за просрочие;10000;данък върху добавената стойност при сделки в страната - вземане по справка декларация   ;Mесечна справка-декларация по ЗДДС;22251167004;15.1.2018;01.12.2017 - 31.12.2017;15.1.2018
корпоративен данък от нефинансови предприятия - начисляване на лихва за просрочие;10000;данък върху добавената стойност при сделки в страната - вземане по справка декларация   ;Mесечна справка-декларация по ЗДДС;22251167004;15.1.2018;01.12.2017 - 31.12.2017;15.1.2018
данък върху добавената стойност при сделки в страната - начисляване на лихва за просрочие;6719.12;данък върху добавената стойност при сделки в страната - вземане по справка декларация   ;Mесечна справка-декларация по ЗДДС;22251167004;15.1.2018;01.12.2017 - 31.12.2017;15.1.2018
Данък върху доходите от трудови и прир. на тях правоотношения - начисляване на лихви за просрочие;9.74;данък върху добавената стойност при сделки в страната - вземане по справка декларация   ;Mесечна справка-декларация по ЗДДС;22251170890;14.2.2018;01.01.2018 - 31.01.2018;14.2.2018
данъци - начисляване на лихва за просрочие;111.01;данък върху добавената стойност при сделки в страната - начисляване на лихва за просрочие;Mесечна справка-декларация по ЗДДС;29001029154;14.12.2017;15.12.2017 - 22.12.2017;14.12.2017
;228.06;данък върху добавената стойност при сделки в страната - начисляване на лихва за просрочие;Mесечна справка-декларация по ЗДДС;22251167004;15.1.2018;16.01.2018 - 02.02.2018;15.1.2018
;612.69;корпоративен данък от нефинансови предприятия - начисляване на лихва за просрочие;Декларация по чл. 88 от ЗКПО и по чл. 87а, ал. 2 и 3 от ЗКПО;2.90E+13;15.12.2017;16.12.2017 - 31.12.2017;15.12.2017
Данък върху доходите от трудови и прир. на тях правоотношения - начисляване на лихви за просрочие;7425.18;Данък върху доходите от трудови и прир. на тях правоотношения - вземане по декларация чл.49, ал.5 от ЗДДФЛ;Декларация - образец 6;2.23E+16;25.1.2018;01.12.2017 - 31.12.2017;25.1.2018
;26.82;Данък върху доходите от трудови и прир. на тях правоотношения - начисляване на лихви за просрочие;Декларация - образец 6;2.23E+16;25.1.2018;26.01.2018 - 07.02.2018;25.1.2018
;16.5;Данък върху доходите от трудови и прир. на тях правоотношения - начисляване на лихви за просрочие;Декларация - образец 6;2.90E+14;20.12.2017;29.12.2017 - 05.01.2018;28.12.2017
в това число от салдо 01.01.2018;10000;данък върху добавената стойност при сделки в страната - вземане по справка декларация   ;Mесечна справка-декларация по ЗДДС;22251170890;14.2.2018;01.01.2018 - 31.01.2018;14.2.2018
авансов данък 2017 платен;10000;данък върху добавената стойност при сделки в страната - вземане по справка декларация   ;Mесечна справка-декларация по ЗДДС;22251170890;14.2.2018;01.01.2018 - 31.01.2018;14.2.2018
;10000;данък върху добавената стойност при сделки в страната - вземане по справка декларация   ;Mесечна справка-декларация по ЗДДС;22251170890;14.2.2018;01.01.2018 - 31.01.2018;14.2.2018
лихви по ДОО;10000;данък върху добавената стойност при сделки в страната - вземане по справка декларация   ;Mесечна справка-декларация по ЗДДС;22251170890;14.2.2018;01.01.2018 - 31.01.2018;14.2.2018
лихви по ДЗПО;12312.4;данък върху добавената стойност при сделки в страната - вземане по справка декларация   ;Mесечна справка-декларация по ЗДДС;22251170890;14.2.2018;01.01.2018 - 31.01.2018;14.2.2018
лихви по ЗОВ;209.74;Данък върху доходите от трудови и прир. на тях правоотношения - вземане по декларация чл.49, ал.5 от ЗДДФЛ;Декларация - образец 6;2.23E+16;21.2.2018;01.01.2018 - 31.01.2018;26.2.2018
;89.12;Данък върху доходите от трудови и прир. на тях правоотношения - вземане по декларация чл.49, ал.5 от ЗДДФЛ;Декларация - образец 6;2.23E+16;21.2.2018;01.01.2018 - 31.01.2018;26.2.2018
;89.12;данък върху добавената стойност при сделки в страната - начисляване на лихва за просрочие;Mесечна справка-декларация по ЗДДС;22251170890;14.2.2018;15.02.2018 - 23.02.2018;14.2.2018
 ;1;данък върху добавената стойност при сделки в страната - вземане по справка декларация   ;Mесечна справка-декларация по ЗДДС;22251173292;14.3.2018;01.02.2018 - 28.02.2018;14.3.2018
;4.17;Данък върху доходите от трудови и прир. на тях правоотношения - начисляване на лихви за просрочие;Декларация - образец 6;2.23E+16;21.2.2018;27.02.2018 - 28.02.2018;26.2.2018
 ;7417.26;Данък върху доходите от трудови и прир. на тях правоотношения - вземане по декларация чл.49, ал.5 от ЗДДФЛ;Декларация - образец 6;2.23E+16;21.2.2018;01.01.2018 - 31.01.2018;26.2.2018
26.3.2018;10000;данък върху добавената стойност при сделки в страната - вземане по справка декларация   ;Mесечна справка-декларация по ЗДДС;22251173292;14.3.2018;01.02.2018 - 28.02.2018;14.3.2018
26.3.2018;10000;данък върху добавената стойност при сделки в страната - вземане по справка декларация   ;Mесечна справка-декларация по ЗДДС;22251173292;14.3.2018;01.02.2018 - 28.02.2018;14.3.2018
